word, count
the,30
to,20
of,18
I,18
and,14
my,13
have,11
that,9
me,9
you,8
for,7
which,6
a,6
is,6
in,6
has,5
his,5
not,5
with,5
You,5
Mr,4
your,4
been,4
heard,4
most,4
but,4
Wilson,3
into,3
very,3
will,3
gentleman,3
be,3
by,3
from,3
was,3
cases,3
Holmes,3
room,3
when,3
am,3
Watson,3
upon,3
so,3
all,2
also,2
day,2
other,2
indeed,2
listened,2
stout,2
he,2
unique,2
course,2
some,2
are,2
dear,2
said,2
we,2
come,2
on,2
one,2
little,2
doubt,2
friend,2
it,2
because,2
present,2
must,2
whether,2
as,2
an,2
at,2
any,2
instance,2
many,2
events,2
time,2
singular,2
crime,2
life,2
narrative,2
As,2
far,2
fact,2
saying,1
fatencircled,1
just,1
less,1
settee,1
humdrum,1
combinations,1
proposition,1
committed,1
go,1
chair,1
With,1
before,1
certainly,1
kindness,1
took,1
rose,1
had,1
behind,1
better,1
Not,1
enthusiasm,1
thousands,1
gave,1
case,1
doubting,1
than,1
breaks,1
possible,1
Try,1
possibly,1
putting,1
effects,1
half,1
him,1
presented,1
did,1
always,1
greeting,1
piling,1
anxious,1
this,1
indication,1
quick,1
found,1
went,1
where,1
round,1
view,1
right,1
prompted,1
cordially,1
crimes,1
relapsing,1
elderly,1
conventions,1
hair,1
facts,1
lips,1
year,1
morning,1
glance,1
best,1
shown,1
Very,1
opening,1
liberty,1
outside,1
closed,1
routine,1
ever,1
red,1
floridfaced,1
belief,1
slight,1
This,1
use,1
here,1
small,1
reason,1
ask,1
engaged,1
questioning,1
abruptly,1
partner,1
remark,1
last,1
extraordinary,1
could,1
larger,1
adventures,1
guide,1
conversation,1
admit,1
shall,1
Sherlock,1
together,1
bob,1
makes,1
or,1
otherwise,1
among,1
own,1
love,1
Then,1
Doctor,1
simple,1
armchair,1
merely,1
relish,1
down,1
smaller,1
called,1
Jabez,1
impossible,1
bizarre,1
next,1
often,1
every,1
would,1
positive,1
there,1
custom,1
call,1
fiery,1
memory,1
Miss,1
wait,1
until,1
more,1
eyes,1
door,1
interest,1
enough,1
successful,1
great,1
under,1
about,1
embellish,1
excuse,1
part,1
somewhat,1
effort,1
peculiar,1
observed,1
myself,1
Now,1
utmost,1
imagination,1
judicial,1
strangest,1
itself,1
can,1
none,1
were,1
problem,1
similar,1
Your,1
nature,1
promises,1
recommence,1
helper,1
Perhaps,1
fingertips,1
them,1
deep,1
autumn,1
say,1
good,1
story,1
if,1
forced,1
afraid,1
Sutherland,1
daring,1
know,1
no,1
things,1
able,1
detail,1
everyday,1
strange,1
apology,1
occur,1
Dr,1
A,1
begin,1
remarked,1
much,1
connected,1
share,1
The,1
occasionally,1
keep,1
Mary,1
remember,1
chronicle,1
rule,1
intrusion,1
greatest,1
withdraw,1
In,1
So,1
acknowledges,1
pulled,1
yours,1
moods,1
